AnnualIncome,CreditScore,LoanAmount,MonthlyDebtPayments,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,RiskScore,LoanApproved
39948,617,13152,183,7632,1202,146111,19183,49.0,0
39709,628,26045,496,4627,3460,53204,9595,52.0,0
40724,570,17627,902,886,895,25176,128874,52.0,0
69084,545,37898,755,1675,1217,104822,5370,54.0,0
103264,594,9184,274,1555,4981,244305,17286,36.0,1
178310,626,15433,732,2118,1223,67914,40843,44.0,1
51250,564,12741,337,5161,1735,65624,43894,50.0,0
97345,516,19634,288,781,74,50177,11556,42.400000000000006,1
116841,603,55353,638,1157,708,29632,49940,61.0,0
40615,612,25443,704,1028,446,129664,12852,53.0,0
73646,478,48716,267,9266,3875,148966,20315,47.0,0
15000,591,30088,295,259,348,33062,3353,56.0,0
74453,573,16154,258,781,1633,16204,35493,56.0,0
100508,580,20439,247,2027,916,181813,99030,63.0,0
47624,597,27197,196,2971,576,45336,9418,58.0,0
56650,605,12652,336,242,131,261435,11144,33.6,1
50042,582,19105,680,2214,1219,11162,89196,53.0,0
142326,644,13499,772,13247,856,73836,4213,39.2,1
16021,553,14655,286,8651,1127,29278,25345,59.0,0
34698,594,14314,755,3721,2098,128035,72605,48.0,0
106749,630,15698,1059,1686,4304,212568,8152,32.800000000000004,1
59138,594,13205,564,1187,5192,24257,18681,51.0,0
114216,635,9809,571,720,2127,23984,27250,46.400000000000006,1
63300,503,16476,376,2154,1735,14710,53225,53.0,0
39676,555,47795,199,840,1085,157749,76577,60.0,0
59192,594,45608,222,21084,3449,67609,9196,58.0,0
15059,462,20240,443,713,7335,29861,13107,51.0,0
15305,608,21452,443,9547,979,16936,7005,51.0,0
35498,622,11136,698,1346,205,34189,31484,48.0,0
60227,576,25264,458,5391,1993,141168,35773,36.8,1
23861,592,19570,521,3348,1072,85166,8627,55.0,0
73843,667,44668,388,17023,3352,56887,90622,62.0,0
61099,559,10094,380,2987,1795,69823,23540,51.0,0
15000,535,11318,721,4172,3835,303949,13680,53.0,0
34738,520,10166,388,1767,2757,249298,10972,55.0,0
85889,571,24186,870,14921,1110,18899,5554,49.0,0
78701,552,18326,482,463,1585,170720,30154,36.0,1
24914,604,8015,327,2612,199,49999,8146,45.6,1
57231,508,35876,370,7737,242,214229,73682,50.0,0
163303,655,12850,337,3012,309,115322,17900,37.6,1
38453,595,30517,560,5165,1539,46352,3481,54.0,0
99920,582,23363,298,991,288,27778,23569,44.8,1
57860,591,25576,159,2059,427,463089,25653,47.0,0
30890,590,10176,289,11162,249,43010,28334,53.0,0
15561,500,20169,346,1929,1463,16965,5913,55.0,0
105957,530,53987,399,4218,208,165299,69541,54.0,0
82887,545,20996,471,16502,1246,17748,117394,50.0,0
53555,631,29418,221,9902,1607,12300,27582,47.0,0
105639,627,20409,387,3379,5476,165235,22300,46.0,0
58342,519,10077,592,5076,230,25120,15562,50.0,0
121939,653,41215,220,1365,4000,188167,2457,32.800000000000004,1
16054,526,20612,465,4127,665,51140,11870,53.0,0
36057,592,29501,384,2220,438,19637,56982,51.0,0
124086,631,36798,713,3281,1704,32072,21593,39.2,1
272693,586,19717,278,801,1835,94338,5443,38.400000000000006,1
48757,615,16173,817,21739,266,39354,97462,52.0,0
31683,498,10566,183,30896,2581,278821,123883,48.0,0
69003,499,5376,458,983,1153,37496,23994,42.400000000000006,1
72408,616,23181,803,3815,305,22524,33442,63.0,0
105087,653,48331,772,21204,2121,201313,59261,44.0,0
15000,607,26412,468,2232,2085,234374,11163,48.0,0
38513,600,21225,373,1458,340,44836,28653,52.0,0
77555,527,22854,499,8710,691,39027,9580,39.2,1
15000,576,18177,528,5689,1111,99036,274582,57.0,0
24973,611,17466,336,3167,1547,44944,30121,55.0,0
18248,574,16443,733,2682,548,204131,11483,48.0,0
67367,615,26889,317,8241,5430,115099,16012,42.400000000000006,1
32418,647,32208,447,2926,533,326015,12696,50.0,0
26879,649,20313,562,4029,3740,94575,23485,50.0,0
54128,620,20676,322,4943,388,92000,4196,36.8,1
19924,535,21767,495,21032,1679,22711,8051,56.0,0
90788,672,18243,153,1980,1139,13542,32218,34.4,1
190445,619,28894,304,2857,956,154003,38230,33.6,1
35372,612,25313,424,2811,3235,123931,4752,50.0,0
15000,570,50226,537,3575,3286,153676,71478,58.0,0
40829,617,25478,785,2267,1111,42122,7348,49.0,0
58655,523,26493,206,2003,1731,64414,41991,51.0,0
68801,531,18652,1044,1810,630,446359,16938,53.0,0
92731,619,31116,396,3025,1004,11209,14838,50.0,0
40050,545,112253,406,1506,726,18390,29714,64.0,0
40784,618,41465,370,21978,1394,197632,25549,45.0,0
15000,588,26563,378,1357,2246,496594,22556,48.0,0
86699,615,7469,413,1872,8480,36531,70691,36.0,1
17676,540,17801,226,8380,1994,70945,22271,55.0,0
42752,517,14379,363,6094,1404,172820,26438,53.0,0
29096,570,40138,685,1461,1471,86250,50013,53.0,0
60992,663,24642,664,4726,1723,52202,13350,44.0,0
100032,524,19105,824,9197,302,49889,4301,49.6,1
35882,620,9259,257,3552,1162,61154,91262,47.0,0
32781,623,17468,1180,7428,2122,299192,4938,41.0,0
51707,585,20069,407,3815,1252,24114,24580,52.0,0
31251,596,66582,357,2313,945,30153,37940,61.0,0
22359,524,26889,216,24764,3578,131521,46881,57.0,0
152650,610,24815,148,4346,587,127009,89100,38.400000000000006,1
15120,562,21849,423,1874,1245,18522,14697,58.0,0
59830,570,22734,246,2511,329,449345,13537,45.6,1
55308,645,19539,362,5995,932,101618,7871,36.8,1
30948,601,25291,286,7167,291,99978,21318,49.0,0
56940,592,15752,213,1349,634,97769,33321,50.0,0
44000,539,28714,457,5872,2939,331208,29418,46.0,0
