,sample_size,accuracy
0,100,0.7639999999999999
1,200,0.8315000000000002
2,300,0.8646666666666667
3,400,0.7745000000000001
4,500,0.7831
5,600,0.839
6,700,0.875
7,800,0.8411875000000001
8,900,0.8475
9,1000,0.8282
10,1100,0.8233181818181818
11,1200,0.84425
12,1300,0.8453461538461537
13,1400,0.8437857142857141
14,1500,0.8536333333333332
15,1600,0.8316562500000001
16,1700,0.8207058823529413
17,1800,0.8081944444444443
18,1900,0.8470263157894736
19,2000,0.8597
20,2100,0.8347619047619048
21,2200,0.8368409090909092
22,2300,0.849478260869565
23,2400,0.8311666666666667
24,2500,0.8479799999999998
25,2600,0.8401730769230769
26,2700,0.8445185185185186
27,2800,0.8322142857142856
28,2900,0.8383448275862071
29,3000,0.8209833333333334
30,3100,0.845451612903226
31,3200,0.8374062500000001
32,3300,0.843439393939394
33,3400,0.8540588235294115
34,3500,0.8493285714285714
35,3600,0.8472361111111111
36,3700,0.8422702702702703
37,3800,0.8408684210526315
38,3900,0.8368333333333332
39,4000,0.8395125000000001
40,4100,0.8516097560975612
41,4200,0.865345238095238
42,4300,0.8554302325581397
43,4400,0.8487159090909091
44,4500,0.8369111111111112
45,4600,0.8454130434782607
46,4700,0.8544680851063831
47,4800,0.8530208333333335
48,4900,0.852734693877551
49,5000,0.8591500000000001
